2021-01-12 10:13:04 status unpacked dirmngr:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status half-configured dirmngr:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 status installed dirmngr:amd64 2.1.18-8~deb9u4
2021-01-12 10:13:04 trigproc libc-bin:amd64 2.24-11+deb9u4 <none>
2021-01-12 10:13:04 status half-configured libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:04 status installed libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:12 startup archives unpack
2021-01-12 10:13:12 install libssl1.1:amd64 <none> 1.1.0l-1~deb9u2
2021-01-12 10:13:12 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2021-01-12 10:13:12 status half-installed libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:13 status unpacked libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:13 status unpacked libssl1.1:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:13 install libunistring0:amd64 <none> 0.9.6+really0.9.3-0.1
2021-01-12 10:13:13 status half-installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:13 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:13 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2021-01-12 10:13:13 install libidn2-0:amd64 <none> 0.16-1+deb9u1
2021-01-12 10:13:13 status half-installed libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:13 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:13 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2021-01-12 10:13:13 install libpsl5:amd64 <none> 0.17.0-3
2021-01-12 10:13:13 status half-installed libpsl5:amd64 0.17.0-3
2021-01-12 10:13:13 status unpacked libpsl5:amd64 0.17.0-3
2021-01-12 10:13:13 status unpacked libpsl5:amd64 0.17.0-3
2021-01-12 10:13:13 install wget:amd64 <none> 1.18-5+deb9u3
2021-01-12 10:13:13 status half-installed wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:13 status unpacked wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:13 status unpacked wget:amd64 1.18-5+deb9u3
2021-01-12 10:13:13 install openssl:amd64 <none> 1.1.0l-1~deb9u2
2021-01-12 10:13:13 status half-installed openssl:amd64 1.1.0l-1~deb9u2
2021-01-12 10:13:13 status unpacked openssl:amd64 1.1.0l-1~deb9u2
